"Add New Category","Створити нову категорію"
"Are you sure you want to do this?","Ви впевнені що хочете зробити це"
"Start Import","Розпочати імпорт"
NOTICE,УВАГА
"Database Name","Назва бази даних"
"User Name","Назва користувача"
"Database Host","Хост бази даних"
"Table Prefix","Префікс таблиць"
Background,Публікація
"Add New Background","Додати нову публікацію"
Background,Блог
"Go to Background Home Page","Повернутись на головну сторінку блогу"
"Monthly Archives: %s %s","Архів по місяцям: %s %s"
"Search ""%1""","Шукати ""%1"""
"Recent Background Backgrounds","Останні публікації"
"Manage %1","Управляти %1"
"Edit %1","Редагувати %1"
"New %1","Новий(ва) %1"
"Create %1","Створити %1"
"%1 has been saved.","%1 збережено."
"Something went wrong while saving this %1. %2","Дещо пішло не так під час збереження %1. %2"
"We can't delete %1 right now. %2","Не можливо видалити зараз. %2"
"%1 have been deleted.","%1 видалено."
"Parameter ""Status"" missing in request data.","Параметер ""Статус"" відсутній."
"Status Field Name is not specified.","Status Field Name не вказано."
"We can't change status of %1 right now. %2","Не можливо змінити статус. %2"
"%1 status have been changed.","Статус було змінено."
"Background Import","Імпорт Блогу"
"Background import type is not specified.","Тип імпорту не було вказано."
"The import process was completed successfully. %1 backgrounds and %2 categories where imported.","Імпорт завершено успішно. %1 публікацій та %2 категорій було імпортовано."
"The import process completed. %1 backgrounds and %2 categories where imported. Some backgrounds or categories where skipped.<br/> %3 %4","Імпорт завершено. %1 публікацій та %2 категорій було імпортовано, але деякі публікації чи категорії були пропущенні.<br/> %3 %4"
"Nothing to import.","Немає що імпортувати."
"Can not make import.","Неможливо здійснити імпорт."
"Something went wrong: ","Ой лишенько. Щось пішло не так: "
"Background Import from WordPress (beta)","Імпорт блогу з WordPress (бета)"
"Please select","Будь ласка виберіть"
"Use Facebook Comments","Використовувати коментарі Facebook"
"Use Disqus Comments","Використовувати коментарі Disqus"
"Use Google Comments (beta)","Використовувати коментарі Google (бета)"
"Yes (With auto trigger)","Так (З автоматним тригером)"
"Yes (Without auto trigger)","Так (Без автоматичного тригера)"
"Parameter %1 is required","Параметер %1 вимагається"
"AheadWorks Background Extension not detected.","AheadWorks Background Extension не виявлений."
"The category URL key contains capital letters or disallowed symbols.","URL ключ категорії містить великі літери або заборонені символи."
"The category URL key cannot be made of only numbers.","URL ключ категорії не може складатись лише із цифер."
"The background URL key contains capital letters or disallowed symbols.","URL ключ публікації містить великі літери або заборонені символи."
"The background URL key cannot be made of only numbers.","URL ключ публікації не може складатись лише із цифер."
"The tag is already exist.","Тег уже існує."
"The tag URL key contains capital letters or disallowed symbols.","URL ключ тега містить великі літери або заборонені символи"
"The tag URL key cannot be made of only numbers.","URL ключ тега не може складатись лише із цифер."
"Related backgrounds","Пов'язані публікації"
Backgrounded:,Опубліковано:
Categories:,Категорії:
Tags:,Теги:
Author:,Аутор:
"We can't find backgrounds matching the selection.","Ми не можемо знайти жодних публікацій тут."
"Read more &#187;","Дізнатись більше &#187;"
"See more","Дивітся більше"
"Read %1","Читати %1"
"&larr; Previous","&larr; Попередя"
"Next &rarr;","Наступна &rarr;"
"Related Backgrounds","Related Backgrounds"
Archive,Archive
"Archive %s","Archive %s"
"Recent Backgrounds","Пов'язані публікації"
"RSS Feed","RSS Feed"
"Search backgrounds here...","Пошук публікацій..."
Tags,Tags
"designnbuy Extensions","Рішення від designnbuy"
"Background Information","Інформація про блог"
"Background Index Page","Головна сторінка блогу"
"Background View","Перегляд публікацій"
"Display Related Backgrounds","Показувати пов'язані публікації"
"Number of Backgrounds","Кількість публікацій"
"Display Related Products","Показувати пов'язані продукти"
"Number of Products","Кількість продуктів"
Comments,Коментарі
"Number of Comments","Кількість дописів у коментарях"
"Facebook Application ID","Facebook Application ID"
"Preview and Next Background","Попередня і наступна публікація"
"Display Prev. & Next Background Links","Показувати посилання на попередню і наступну публікацію"
"Background List","Список публікацій"
"Backgrounds Per Page","Кількість публікацій на сторінку"
"Use Lazy Loading","Використовувати ліниве завантаження (Lazy Loading)"
"Automatically load more backgrounds on page.","Автоматично підвантажувати більше публікацій на сторінці під час прокручування униз."
