Add New Category,Adicionar Nova Categoria
Are you sure you want to do this?,Tem certeza disso?
Start Import,Começar Importação
NOTICE,AVISO
Database Name,Nome do Banco de Dados
User Name,Nome do Usuário
Database Host,Host do Banco de Dados
Table Prefix,Prefixo da Tabela
Size,Size
Add New Size,Adicionar Novo Size
Sheet,Sheet
Go to Sheet Home Page,Ir Para Home Page do Sheet
Monthly Archives: %s %s,Arquivo Mensal: %s %s
"Search ""%1""","Procurar ""%1"""
Recent Sheet Sizes,Sizes Recentes
Manage %1,Gerenciar %1
Edit %1,Editar %1
New %1,Novo %1
Create %1,Criar %1
%1 has been saved.,%1 foi salvo.
Something went wrong while saving this %1. %2,Ocorreu um erro ao salvar isso %1. %2
We can't delete %1 right now. %2,Não é possível deletar %1 no momento. %2
%1 have been deleted.,%1 foi deletado.
"Parameter ""Status"" missing in request data.","Parameter ""Status"" missing in request data."
Status Field Name is not specified.,O nome do campo status não foi especificado.
We can't change status of %1 right now. %2,Não é possível alterar o status de %1 nesse momento. %2
%1 status have been changed.,%1 status foi alterado.
Sheet Import,Importar Sheet
Sheet import type is not specified.,O tipo de sheet a importar não foi especificado.
The import process was completed successfully. %1 sizes and %2 categories where imported.,O processo de importação foi conluído com êxito. %1 sizes e %2 categorias foram importados.
The import process completed. %1 sizes and %2 categories where imported. Some sizes or categories where skipped.<br/> %3 %4,O processo de importação foi conluído. %1 sizes e %2 categorias foram importados. Alguns sizes ou categorias faltaram.<br/> %3 %4
Nothing to import.,Nada para importar.
Can not make import.,Não foi possível importar.
Something went wrong: ,Ocorreu um erro: 
Sheet Import from WordPress,Importar Sheet do Wordpress
Please select,Selecione
Use Facebook Comments,Usar Comentários do Facebook
Use Disqus Comments,Usar Comentários do Disqus
Use Google Comments,Usar Comentários do Google
Yes (With auto trigger),Sim (Automaticamente)
Yes (Without auto trigger),Yes (Manualmente)
Parameter %1 is required,O parâmetro %1 é requerido
AheadWorks Sheet Extension not detected.,A extensão Sheet da AheadWorks não foi detectada.
The category URL key contains disallowed symbols.,A URL key da categoria contém letras maiúsculas ou símbolos não permitidos.
The category URL key cannot be made of only numbers.,A URL key da categoria não pode ser contituida apenas de números.
The size URL key contains disallowed symbols.,A URL key do size contém letras maiúsculas ou símbolos não permitidos.
The size URL key cannot be made of only numbers.,A URL key do size não pode ser contituida apenas de números.
The tag is already exist.,A tag já existe.
The tag URL key contains disallowed symbols.,A URL key da tag contém letras maiúsculas ou símbolos não permitidos.
The tag URL key cannot be made of only numbers.,A URL key da tag não pode ser contituida apenas de números.
Related sizes,Sizes relacionados
Sizeed:,Publicado:
Categories:,Categorias:
Tags:,Tags:
Author:,Autor:
We can't find sizes matching the selection.,Não foi possível encontrar sizes que se enquadrem na seleção.
Read more &#187;,Leia mais &#187;
See more,Veja mais
Read %1,Ler %1
